Data set,layers,position_range,velocity_range,omega,c1,c2,vmax,pop_size,loss1,loss2
soybean,0,10,1,0.1,0.1,2,1,1000,100,100
soybean,0,10,1,0.1,0.1,2,3,2,20,6.66666666666667
soybean,0,10,1,0.1,0.1,2,3,5,20,16
soybean,0,10,1,0.1,0.1,2,3,10,80,78.6666666666667
soybean,0,10,1,0.1,0.1,2,3,50,100,100
soybean,0,10,1,0.1,0.1,2,3,100,100,100
soybean,0,10,1,0.1,0.1,2,3,500,100,100
soybean,0,10,1,0.1,0.1,2,3,1000,100,100
soybean,0,10,1,0.1,0.1,2,6,2,20,20
soybean,0,10,1,0.1,0.1,2,6,5,20,13.3333333333333
soybean,0,10,1,0.1,0.1,2,6,10,60,58.6666666666667
soybean,0,10,1,0.1,0.1,2,6,50,100,100
soybean,0,10,1,0.1,0.1,2,6,100,100,100
soybean,0,10,1,0.1,0.1,2,6,500,100,100
soybean,0,10,1,0.1,0.1,2,6,1000,100,100
soybean,0,10,1,0.1,0.1,2,9,2,20,26.6666666666667
soybean,0,10,1,0.1,0.1,2,9,5,40,36
soybean,0,10,1,0.1,0.1,2,9,10,100,100
soybean,0,10,1,0.1,0.1,2,9,50,100,100
soybean,0,10,1,0.1,0.1,2,9,100,100,100
soybean,0,10,1,0.1,0.1,2,9,500,100,100
soybean,0,10,1,0.1,0.1,2,9,1000,100,100
soybean,0,10,1,0.1,0.1,2,15,2,0,0
soybean,0,10,1,0.1,0.1,2,15,5,40,36.6666666666667
soybean,0,10,1,0.1,0.1,2,15,10,60,53.3333333333333
soybean,0,10,1,0.1,0.1,2,15,50,100,100
soybean,0,10,1,0.1,0.1,2,15,100,100,100
soybean,0,10,1,0.1,0.1,2,15,500,100,100
soybean,0,10,1,0.1,0.1,2,15,1000,100,100
soybean,0,10,1,0.1,0.1,5,1,2,20,16
soybean,0,10,1,0.1,0.1,5,1,5,100,100
soybean,0,10,1,0.1,0.1,5,1,10,100,100
soybean,0,10,1,0.1,0.1,5,1,50,100,100
soybean,0,10,1,0.1,0.1,5,1,100,100,100
soybean,0,10,1,0.1,0.1,5,1,500,100,100
soybean,0,10,1,0.1,0.1,5,1,1000,100,100
soybean,0,10,1,0.1,0.1,5,3,2,60,53.3333333333333
soybean,0,10,1,0.1,0.1,5,3,5,100,100
soybean,0,10,1,0.1,0.1,5,3,10,100,100
soybean,0,10,1,0.1,0.1,5,3,50,100,100
soybean,0,10,1,0.1,0.1,5,3,100,100,100
soybean,0,10,1,0.1,0.1,5,3,500,100,100
soybean,0,10,1,0.1,0.1,5,3,1000,100,100
soybean,0,10,1,0.1,0.1,5,6,2,60,53.3333333333333
soybean,0,10,1,0.1,0.1,5,6,5,60,46.6666666666667
soybean,0,10,1,0.1,0.1,5,6,10,100,100
soybean,0,10,1,0.1,0.1,5,6,50,100,100
soybean,0,10,1,0.1,0.1,5,6,100,100,100
soybean,0,10,1,0.1,0.1,5,6,500,100,100
soybean,0,10,1,0.1,0.1,5,6,1000,100,100
soybean,0,10,1,0.1,0.1,5,9,2,60,45.3333333333333
