Data set,layers,position_range,velocity_range,omega,c1,c2,c1>c2,c1=c2,c1<c2,vmax,pop_size,loss1,loss2,average,,,
glass,0,10,1,0.2,0.5,0.9,,,,1,100,81.8181818181818,77.1349862258953,61.0796274432638,,,
glass,0,10,1,0.2,0.1,0.1,,,,15,1000,77.2727272727273,73.258559622196,60.8277195175591,,,
glass,0,10,1,0.2,5,5,,,,1,10,81.8181818181818,79.9586776859504,60.6903257170637,,,
glass,0,10,1,0.2,0.9,0.1,,,,15,100,77.2727272727273,72.8590250329381,60.4507615319055,,,
glass,0,10,1,0.2,0.1,0.1,,,,7,1000,77.2727272727273,71.969696969697,60.2440488804125,,,
glass,0,10,1,0.2,5,0.1,,,,1,100,77.2727272727273,73.258559622196,60.1711538609934,,,
glass,0,10,1,0.2,0.1,0.1,,,,1,100,68.1818181818182,63.6363636363636,60.0600870363716,,,
glass,0,10,1,0.2,0.1,0.9,,,,1,100,68.1818181818182,65.9090909090909,60.0436179981634,,,
glass,0,10,1,0.2,5,5,,,,7,100,68.1818181818182,68.4194890077243,59.9839855133973,,,
glass,0,10,1,0.2,0.1,0.1,,,,15,100,81.8181818181818,77.1349862258953,59.6976760613124,,,
glass,0,10,1,0.2,0.5,0.1,,,,1,100,72.7272727272727,69.7560015741834,59.6676681903955,,,
glass,0,10,1,0.5,0.1,0.9,,,,1,100,77.2727272727273,71.969696969697,59.2680375180375,,,
glass,0,10,1,0.2,0.9,0.1,,,,7,100,77.2727272727273,71.5504850880345,59.1026869485368,,,
glass,0,10,1,0.2,5,0.1,,,,15,100,72.7272727272727,68.4014053579271,59.100442987911,,,
glass,0,10,1,0.8,0.1,0.1,,,,7,100,77.2727272727273,73.5537190082645,59.0417158598977,,,
glass,0,10,1,0.8,5,0.1,,,,7,100,77.2727272727273,73.5537190082645,59.0023940705759,,,
glass,0,10,1,0.8,0.1,0.5,,,,7,1000,63.6363636363636,60.0041669560386,58.9958793434729,,,
glass,0,10,1,0.2,0.1,0.1,,,,7,100,72.7272727272727,67.9292929292929,58.9313371813372,,,
glass,0,10,1,0.2,0.5,0.5,,,,15,100,77.2727272727273,73.5537190082645,58.8036206218025,,,
glass,0,10,1,0.2,0.5,0.1,,,,7,100,72.7272727272727,65.0334513970878,58.7539354584809,,,
glass,0,10,1,0.2,5,0.5,,,,7,1000,68.1818181818182,64.4488361879666,58.5101926585302,,,
glass,0,10,1,0.5,0.1,0.5,,,,7,1000,72.7272727272727,67.9522497704316,58.4884371404748,,,
glass,0,10,1,0.2,5,0.5,,,,1,100,72.7272727272727,67.4242424242424,58.2910927456382,,,
glass,0,10,1,0.2,5,0.5,,,,15,1000,63.6363636363636,60.3305785123967,58.1871159143886,,,
glass,0,10,1,0.2,0.5,5,,,,15,100,63.6363636363636,64.6399055489965,58.1719795356159,,,
glass,0,10,1,0.2,0.1,5,,,,15,100,59.0909090909091,62.5,58.025308025308,,,
glass,0,10,1,0.5,5,0.1,,,,1,100,72.7272727272727,68.9393939393939,57.9942784488239,,,
glass,0,10,1,0.5,0.1,0.1,,,,15,100,81.8181818181818,77.1349862258953,57.8471344460649,,,
glass,0,10,1,0.2,0.1,0.5,,,,1,100,77.2727272727273,71.5504850880345,57.6665007041664,,,
glass,0,10,1,0.2,0.5,0.1,,,,15,100,77.2727272727273,71.5504850880345,57.5644474102972,,,
glass,0,10,1,0.2,0.1,5,,,,7,100,68.1818181818182,71.010101010101,57.3793068529911,,,
glass,0,10,1,0.2,0.9,0.5,,,,1,100,59.0909090909091,57.5757575757576,57.3576945929887,,,
glass,0,10,1,0.5,0.1,5,,,,1,100,81.8181818181818,77.4044795783926,57.2083032286398,,,
glass,0,10,1,0.5,5,0.1,,,,15,100,72.7272727272727,64.6005509641873,57.1841408739804,,,
glass,0,10,1,0.2,5,0.9,,,,1,100,59.0909090909091,57.7200577200577,57.1693121693122,,,
glass,0,10,1,0.2,0.9,0.1,,,,1,100,81.8181818181818,77.4044795783926,57.1585419411506,,,
glass,0,10,1,0.8,0.5,0.1,,,,7,1000,72.7272727272727,70.995670995671,57.0741982032304,,,
glass,0,10,1,0.8,0.1,0.1,,,,1,100,63.6363636363636,60.8356290174472,56.8686868686869,,,
glass,0,10,1,0.5,0.5,0.5,,,,1,100,63.6363636363636,62.8099173553719,56.763085399449,,,
glass,0,10,1,0.2,0.9,0.5,,,,15,1000,54.5454545454545,54.1322314049587,56.5843713818022,,,
glass,0,10,1,0.2,0.1,0.5,,,,7,1000,77.2727272727273,71.6450216450216,56.3816738816739,,,
glass,0,10,1,0.5,0.1,0.5,,,,1,100,72.7272727272727,67.9522497704316,56.1014473741747,,,
glass,0,10,1,0.2,0.1,0.5,,,,15,100,63.6363636363636,60.7438016528926,55.7887641821611,,,
glass,0,10,1,0.2,5,0.9,,,,7,100,63.6363636363636,61.4536978173342,55.7219666845335,,,
glass,0,10,1,0.5,0.9,5,,,,7,1000,68.1818181818182,66.1255411255411,55.5411759957215,,,
glass,0,10,1,0.2,0.9,0.9,,,,15,100,81.8181818181818,77.4044795783926,54.9092373005416,,,
glass,0,10,1,0.2,5,0.1,,,,7,100,59.0909090909091,56.9657615112161,54.7474361645485,,,
glass,0,10,1,0.8,0.5,0.5,,,,1,100,63.6363636363636,60.0041669560386,54.7055736895309,,,
glass,0,10,1,0.5,0.1,0.5,,,,7,100,50,47.8700043917435,54.5463775414049,,,
glass,0,10,1,0.5,0.1,0.1,,,,7,100,59.0909090909091,56.198347107438,54.4992707826932,,,
glass,0,10,1,0.2,0.9,0.5,,,,7,100,72.7272727272727,68.5606060606061,54.4651056014693,,,
glass,0,10,1,0.2,0.9,0.9,,,,1,100,50,46.4426877470356,54.4405683980783,,,
glass,0,10,1,0.2,0.5,5,,,,7,100,54.5454545454545,56.1868686868687,54.3213310258765,,,
glass,0,10,1,0.2,0.9,5,,,,7,10,68.1818181818182,65.4269972451791,54.2240587695133,,,
glass,0,10,1,0.2,0.1,0.9,,,,15,100,59.0909090909091,58.6504139135718,54.1747936185735,,,
glass,0,10,1,0.5,5,5,,,,7,1000,59.0909090909091,60.9051036682616,54.1374732938201,,,
glass,0,10,1,0.5,0.5,5,,,,1,10,68.1818181818182,55.6261919898283,53.9558446603901,,,
glass,0,10,1,0.5,0.5,0.9,,,,15,1000,72.7272727272727,70.995670995671,53.9356700647023,,,
glass,0,10,1,0.2,0.9,5,,,,7,100,72.7272727272727,74.4019138755981,53.7854864433812,,,
glass,0,10,1,0.5,0.9,0.9,,,,7,1000,90.9090909090909,88.7445887445888,53.6823544844935,,,
glass,0,10,1,0.5,5,0.5,,,,7,100,81.8181818181818,78.2172373081464,53.2491572598524,,,
glass,0,10,1,0.2,5,0.5,,,,7,100,68.1818181818182,65.8861340679523,53.2049550766128,,,
