layers,position_range,velocity_range,omega,c1,c2,C1 > c2,C1 == c2,vmax,pop_size,loss1,loss2,average loss2
0,10,1,0.8,5,0.1,TRUE,FALSE,1,100,0.109868880403215,0.018952374589166,0.02275913564255
0,10,1,0.5,0.5,0.5,FALSE,TRUE,7,100,0.071240447355049,0.009159994314055,0.023011624384811
0,10,1,0.5,0.9,0.5,TRUE,FALSE,1,100,0.081902838771656,0.011008960385257,0.023952630194107
0,10,1,0.5,0.5,0.5,FALSE,TRUE,15,1000,0.110492186609575,0.02012011546938,0.024087801803643
0,10,1,0.2,0.9,0.5,TRUE,FALSE,7,10,0.115544141986021,0.019928010398645,0.024230864410625
0,10,1,0.5,5,0.1,TRUE,FALSE,1,10,0.084639219612671,0.01293087625476,0.024641203482586
0,10,1,0.2,5,0.5,TRUE,FALSE,15,10,0.10767933370785,0.020578880239307,0.025006825322668
0,10,1,0.5,0.5,5,FALSE,FALSE,1,1000,0.083199070583238,0.012240432555367,0.026219462992238
0,10,1,0.5,0.9,0.5,TRUE,FALSE,7,100,0.087681768720931,0.012574870240791,0.026739638827005
0,10,1,0.2,5,0.1,TRUE,FALSE,7,10,0.102628528134325,0.017873911574226,0.027202920208013
0,10,1,0.5,0.5,5,FALSE,FALSE,1,100,0.091071801914384,0.013892419997951,0.027444995425355
0,10,1,0.5,0.9,0.5,TRUE,FALSE,15,10,0.105982990915431,0.019942722687423,0.027555006786689
0,10,1,0.2,0.5,0.5,FALSE,TRUE,7,10,0.105043810746351,0.01922471033321,0.028114344910967
0,10,1,0.2,0.5,0.1,TRUE,FALSE,7,10,0.079629449361067,0.011278510988381,0.028128280654594
0,10,1,0.2,0.9,0.9,FALSE,TRUE,7,1000,0.075595562764664,0.010619900936881,0.028254560436882
0,10,1,0.5,0.9,0.1,TRUE,FALSE,1,10,0.123924172455446,0.025000609821594,0.028487607129322
0,10,1,0.5,0.9,0.5,TRUE,FALSE,15,100,0.078671380600359,0.011149403081377,0.028524288465544
0,10,1,0.5,5,0.5,TRUE,FALSE,7,1000,0.122452029846541,0.023973980588148,0.028843030022934
0,10,1,0.5,0.5,0.1,TRUE,FALSE,15,10,0.112572695131633,0.02249478190176,0.029205746604036
0,10,1,0.5,0.9,0.9,FALSE,TRUE,1,10,0.103123724334039,0.017012187782539,0.029591813690277
0,10,1,0.2,0.1,0.5,FALSE,FALSE,1,10,0.103988825585432,0.019489666676203,0.0296629854315
0,10,1,0.2,0.5,0.1,TRUE,FALSE,15,10,0.078228437521494,0.011664330278228,0.030158768453787
0,10,1,0.5,0.1,0.1,FALSE,TRUE,1,10,0.088576378726863,0.014184248062385,0.030536834683337
0,10,1,0.2,5,0.5,TRUE,FALSE,1,10,0.104853160731392,0.017527437383437,0.032335662998349
0,10,1,0.5,0.1,0.1,FALSE,TRUE,7,10,0.101838487429552,0.018410537009172,0.032350381463536
0,10,1,0.2,0.9,0.5,TRUE,FALSE,1,10,0.149573080918357,0.032217272032548,0.033603235873399
0,10,1,0.8,0.9,0.1,TRUE,FALSE,1,100,0.079744784093532,0.011598995879016,0.03370816547123
0,10,1,0.2,5,5,FALSE,TRUE,7,1000,0.073434407648744,0.00980290883763,0.03374502957575
0,10,1,0.5,0.1,0.5,FALSE,FALSE,1,10,0.073394618451233,0.009182044522683,0.033761398178348
0,10,1,0.5,5,0.5,TRUE,FALSE,15,1000,0.069733056234579,0.00888142321899,0.033930686551413
0,10,1,0.5,0.5,0.5,FALSE,TRUE,1,10,0.091235737879631,0.014483804146727,0.034176563795451
0,10,1,0.2,0.1,0.1,FALSE,TRUE,15,10,0.105002779614041,0.018233058104067,0.034267758237172
0,10,1,0.5,5,0.5,TRUE,FALSE,1,10,0.100699831322255,0.018174083828368,0.03432560791228
0,10,1,0.8,0.1,0.1,FALSE,TRUE,15,100,0.085739199694473,0.012679191093367,0.034879420180394
0,10,1,0.2,0.9,5,FALSE,FALSE,1,10,0.083952097633005,0.012102553359096,0.03503197278544
0,10,1,0.5,5,0.5,TRUE,FALSE,7,100,0.079698221808426,0.0106988833226,0.035290715434001
0,10,1,0.2,0.9,0.9,FALSE,TRUE,15,100,0.098741310371811,0.01742793150604,0.035455034096929
0,10,1,0.2,0.1,0.1,FALSE,TRUE,1,10,0.109589328867137,0.020959560442365,0.036575524889024
0,10,1,0.5,0.9,0.1,TRUE,FALSE,15,10,0.093576136521653,0.015369264944539,0.036836062373982
0,10,1,0.5,5,5,FALSE,TRUE,1,10,0.094507184516482,0.014513536500564,0.036928997558741
0,10,1,0.2,0.5,0.5,FALSE,TRUE,15,10,0.102902080296037,0.016783138184958,0.037116859247835
0,10,1,0.2,0.1,0.5,FALSE,FALSE,7,10,0.106632285216001,0.019683817242099,0.037485403210621
0,10,1,0.2,0.9,5,FALSE,FALSE,15,10,0.091652519884353,0.014504779272807,0.037536641922409
