Data set,layers,position_range,velocity_range,omega,c1,c2,c1>c2,c1<=c2,c1==c2,vmax,pop_size,loss1,loss2,average,count,value,param
Cancer,0,10,1,0.5,5,0.9,TRUE,,FALSE,7,1000,87.1428571428571,87.1902593177805,91.0643008651483,,,
Cancer,0,10,1,0.2,5,5,FALSE,,TRUE,7,100,85.7142857142857,85.7142857142857,91.0411622276029,,,
Cancer,0,10,1,0.5,0.5,5,FALSE,,FALSE,7,100,91.4285714285714,91.2577639751553,91.0067712488277,,,
Cancer,0,10,1,0.2,0.5,5,FALSE,,FALSE,15,100,90,90.0368683582737,90.9077345873335,,,
Cancer,0,10,1,0.8,5,0.1,TRUE,,FALSE,7,100,85.7142857142857,85.9305538868196,90.6474862162415,,,
Cancer,0,10,1,0.2,0.9,5,FALSE,,FALSE,15,1000,84.2857142857143,84.5389053298658,90.6430224940782,,,
Cancer,0,10,1,0.2,0.1,5,FALSE,,FALSE,15,100,84.2857142857143,84.5351473922903,90.6417698482197,,,
Cancer,0,10,1,0.5,0.1,0.1,FALSE,,TRUE,7,100,88.5714285714286,88.7074829931973,90.640589569161,,,
Cancer,0,10,1,0.5,0.1,0.1,FALSE,,TRUE,1,100,92.8571428571429,92.92589763178,90.637920575656,,,
Cancer,0,10,1,0.5,5,0.9,TRUE,,FALSE,1,1000,87.1428571428571,87.3195035782227,90.6358265140764,,,
Cancer,0,10,1,0.2,0.5,0.5,FALSE,,TRUE,15,100,87.1428571428571,87.3195035782227,90.633976548732,,,
Cancer,0,10,1,0.5,5,0.5,TRUE,,FALSE,7,1000,87.1428571428571,87.3195035782227,90.633976548732,,,
Cancer,0,10,1,0.5,5,0.5,TRUE,,FALSE,15,1000,87.1428571428571,87.3195035782227,90.633976548732,,,
Cancer,0,10,1,0.8,0.1,0.1,FALSE,,TRUE,1,1000,87.1428571428571,87.3195035782227,90.633976548732,,,
Cancer,0,10,1,0.8,0.1,0.1,FALSE,,TRUE,15,1000,87.1428571428571,87.3195035782227,90.633976548732,,,
Cancer,0,10,1,0.8,0.5,0.1,TRUE,,FALSE,1,1000,87.1428571428571,87.3195035782227,90.633976548732,,,
Cancer,0,10,1,0.8,0.5,0.1,TRUE,,FALSE,15,1000,87.1428571428571,87.3195035782227,90.633976548732,,,
Cancer,0,10,1,0.8,0.9,0.1,TRUE,,FALSE,1,1000,87.1428571428571,87.3195035782227,90.633976548732,,,
Cancer,0,10,1,0.8,0.9,0.1,TRUE,,FALSE,15,1000,87.1428571428571,87.3195035782227,90.633976548732,,,
Cancer,0,10,1,0.8,5,0.1,TRUE,,FALSE,1,1000,87.1428571428571,87.3195035782227,90.633976548732,,,
Cancer,0,10,1,0.2,0.1,0.1,FALSE,,TRUE,1,1000,88.5714285714286,88.7074829931973,90.6282333593943,,,
Cancer,0,10,1,0.5,0.9,0.5,TRUE,,FALSE,1,100,88.5714285714286,88.7074829931973,90.6282333593943,,,
Cancer,0,10,1,0.8,0.9,0.1,TRUE,,FALSE,1,100,88.5714285714286,88.7074829931973,90.6282333593943,,,
Cancer,0,10,1,0.8,0.9,0.1,TRUE,,FALSE,15,100,88.5714285714286,88.7074829931973,90.6282333593943,,,
Cancer,0,10,1,0.5,0.9,0.1,TRUE,,FALSE,1,100,90,90.096256684492,90.6273587066694,,,
Cancer,0,10,1,0.2,0.9,0.1,TRUE,,FALSE,15,1000,90,90.096256684492,90.6264038026661,,,
Cancer,0,10,1,0.2,0.5,0.5,FALSE,,TRUE,1,100,91.4285714285714,91.4876338132152,90.6254977782741,,,
Cancer,0,10,1,0.2,5,0.1,TRUE,,FALSE,7,1000,88.5714285714286,88.7074829931973,90.6250805825043,,,
Cancer,0,10,1,0.2,5,0.1,TRUE,,FALSE,15,1000,88.5714285714286,88.7074829931973,90.6250805825043,,,
Cancer,0,10,1,0.2,5,0.5,TRUE,,FALSE,1,1000,88.5714285714286,88.7074829931973,90.6250805825043,,,
Cancer,0,10,1,0.5,0.5,0.5,FALSE,,TRUE,1,1000,88.5714285714286,88.7074829931973,90.6250805825043,,,
Cancer,0,10,1,0.2,0.9,0.1,TRUE,,FALSE,1,100,92.8571428571429,92.8834773987669,90.6236797613661,,,
