Data set,layers,position_range,velocity_range,omega,c1,c2,C1 > c2,c1<=c2,c1=c2,vmax,pop_size,loss1,loss2,average,,,
forestfires,0,10,1,0.8,0.5,0.1,,,,15,1000,0.147683789209207,0.037482759207084,0.04821426159013,,,
forestfires,0,10,1,0.5,0.1,0.5,,,,15,100,0.183333569901347,0.060099701639256,0.04835580483968,,,
forestfires,0,10,1,0.5,5,0.5,,,,15,100,0.169096143965261,0.07060588201909,0.048420715997577,,,
forestfires,0,10,1,0.5,5,0.9,,,,7,1000,0.176708141701213,0.081781968773358,0.048724092199317,,,
forestfires,0,10,1,0.2,0.1,0.9,,,,1,10,0.159508349989994,0.054849531969443,0.049279021447478,,,
forestfires,0,10,1,0.5,0.1,5,,,,1,1000,0.184505911849325,0.077036074963441,0.049307656305177,,,
forestfires,0,10,1,0.2,5,0.5,,,,1,10,0.173941464105927,0.055020678687749,0.049532899939171,,,
forestfires,0,10,1,0.5,5,0.5,,,,7,100,0.174181988774418,0.07344482376921,0.050070507984989,,,
forestfires,0,10,1,0.8,0.9,0.1,,,,7,100,0.164476351905551,0.067840813483942,0.050450382881361,,,
forestfires,0,10,1,0.5,0.1,0.1,,,,7,10,0.16020504375638,0.060824581219072,0.050608462896062,,,
forestfires,0,10,1,0.5,0.9,0.5,,,,15,1000,0.162062491647917,0.036958142460141,0.050651813087732,,,
forestfires,0,10,1,0.2,0.1,5,,,,1,10,0.162830767194668,0.054979004836063,0.050802982942351,,,
forestfires,0,10,1,0.2,0.5,0.9,,,,15,100,0.165758610879202,0.061181147894182,0.05089971323924,,,
forestfires,0,10,1,0.2,0.9,0.9,,,,7,100,0.183707283441109,0.05669644652639,0.051179049873862,,,
forestfires,0,10,1,0.2,0.1,0.9,,,,15,100,0.157027114408644,0.060803212062137,0.051325507891192,,,
forestfires,0,10,1,0.5,5,5,,,,1,1000,0.171516499253005,0.066841744243856,0.051449764011704,,,
forestfires,0,10,1,0.2,5,0.9,,,,7,10,0.168097277257912,0.056576761910012,0.05152346914027,,,
forestfires,0,10,1,0.5,0.9,0.1,,,,7,10,0.162784716191095,0.064124430164148,0.051706442523787,,,
forestfires,0,10,1,0.2,5,0.1,,,,15,10,0.174115618197132,0.04502567107839,0.051772480648618,,,
forestfires,0,10,1,0.2,0.1,0.1,,,,15,10,0.183566568360566,0.056356240215719,0.051982867028504,,,
forestfires,0,10,1,0.5,0.5,0.9,,,,1,10,0.177360013843232,0.058242883571313,0.052021914327081,,,
forestfires,0,10,1,0.5,0.1,0.1,,,,1,10,0.18219958408575,0.059257363141095,0.052048050927051,,,
forestfires,0,10,1,0.5,5,0.5,,,,1,10,0.163992117165233,0.057677547018112,0.052819426239441,,,
forestfires,0,10,1,0.5,0.9,0.5,,,,15,100,0.172567789647998,0.072672332833327,0.052923408213142,,,
forestfires,0,10,1,0.2,0.9,0.1,,,,15,10,0.172754143780833,0.058354195168929,0.053061288253816,,,
forestfires,0,10,1,0.5,0.9,5,,,,1,100,0.168638420320234,0.057200008487793,0.053216781674574,,,
forestfires,0,10,1,0.2,0.5,5,,,,7,1000,0.158944417134474,0.059096746024309,0.053429028722736,,,
forestfires,0,10,1,0.5,0.1,0.1,,,,15,10,0.175530437469309,0.068338541446015,0.053881105182444,,,
forestfires,0,10,1,0.2,5,0.1,,,,1,10,0.18820409074407,0.054009883463421,0.054137975647877,,,
forestfires,0,10,1,0.2,0.1,0.1,,,,7,10,0.178281923098505,0.067613453250758,0.054169254627768,,,
forestfires,0,10,1,0.2,0.9,0.1,,,,1,10,0.157793947782753,0.058249676121368,0.054208071321646,,,
forestfires,0,10,1,0.5,0.9,0.5,,,,1,10,0.184304565952361,0.067885650755885,0.054274915532864,,,
forestfires,0,10,1,0.5,5,0.1,,,,7,10,0.169865527407298,0.05890266235985,0.054410738152322,,,
forestfires,0,10,1,0.5,0.1,0.5,,,,7,100,0.187408017181113,0.052678743331366,0.054535951447932,,,
forestfires,0,10,1,0.5,5,0.1,,,,1,10,0.167235214676903,0.076856767709028,0.054632163576724,,,
forestfires,0,10,1,0.2,0.5,0.9,,,,1,10,0.199621349922468,0.076545431082841,0.054962126490352,,,
forestfires,0,10,1,0.8,0.1,0.1,,,,15,1000,0.17875326643068,0.078845234090506,0.055488140632206,,,
forestfires,0,10,1,0.5,0.9,0.1,,,,15,10,0.200580052093822,0.067181288805702,0.055514847763636,,,
forestfires,0,10,1,0.8,5,0.1,,,,15,1000,0.156387604957329,0.036885467054779,0.055620892998927,,,
forestfires,0,10,1,0.2,0.1,0.9,,,,7,10,0.168103506480809,0.060931270102517,0.05571004219422,,,
forestfires,0,10,1,0.5,0.9,0.9,,,,7,100,0.201010957241539,0.09709249019693,0.055767030371673,,,
forestfires,0,10,1,0.5,0.5,0.1,,,,15,10,0.179577571079438,0.082578627671601,0.055978969882322,,,
forestfires,0,10,1,0.5,0.1,0.5,,,,1,10,0.173957152617749,0.067356479474145,0.056125781200578,,,
forestfires,0,10,1,0.5,5,0.1,,,,15,10,0.169435561778622,0.068707155251621,0.056138637631109,,,
forestfires,0,10,1,0.5,0.5,0.1,,,,1,10,0.173766551320436,0.062026232992422,0.056203246798358,,,
forestfires,0,10,1,0.5,5,0.5,,,,15,10,0.144767242118001,0.053156579955626,0.056476078048742,,,
forestfires,0,10,1,0.5,0.5,0.5,,,,7,100,0.178285086893944,0.064418906654281,0.056487649848151,,,
forestfires,0,10,1,0.2,0.5,5,,,,15,100,0.180559175872336,0.074743390602208,0.056551016274026,,,
forestfires,0,10,1,0.5,0.5,0.5,,,,15,1000,0.17557912083077,0.069303889652841,0.05664986400213,,,
forestfires,0,10,1,0.2,0.9,5,,,,7,100,0.178274411114955,0.080126594526119,0.056951977071826,,,
forestfires,0,10,1,0.2,0.9,0.5,,,,15,10,0.175059114186464,0.057818381775701,0.057147966520188,,,
forestfires,0,10,1,0.2,0.5,0.1,,,,1,10,0.164864777421909,0.058503013690873,0.057288129548954,,,
forestfires,0,10,1,0.5,0.5,0.1,,,,7,10,0.167577422671107,0.075262612816597,0.057774586198772,,,
forestfires,0,10,1,0.2,5,0.9,,,,1,10,0.179241475068503,0.069973160878968,0.058073891547982,,,
forestfires,0,10,1,0.5,0.1,0.9,,,,1,10,0.171430006496701,0.054550076824295,0.058257693242636,,,
forestfires,0,10,1,0.2,5,5,,,,15,100,0.150654090442818,0.062929805957597,0.058418088566542,,,
