Data set,layers,position_range,velocity_range,omega,c1,c2,vmax,pop_size,loss1,loss2,average
machine,0,10,1,0.2,5,0.9,15,100,0.050600774744414,0.005907587181871,0.00977867485365
machine,0,10,1,0.5,0.9,0.9,1,100,0.09891982464718,0.017017745537424,0.009911553359096
machine,0,10,1,0.2,0.5,0.9,7,100,0.056617614354121,0.007028753106893,0.010000336465719
machine,0,10,1,0.2,0.5,5,15,1000,0.035895729412215,0.002612000600594,0.010374805501698
machine,0,10,1,0.2,0.9,0.9,15,100,0.070247696416246,0.00961175148161,0.011030141097117
machine,0,10,1,0.2,5,0.9,1,1000,0.064216826135586,0.007989117451281,0.011042466987954
machine,0,10,1,0.2,0.9,0.9,1,1000,0.071617302419792,0.009923434384018,0.011446568508855
machine,0,10,1,0.8,5,5,1,1000,0.048611275556856,0.005464231156423,0.011476574289735
machine,0,10,1,0.2,0.1,5,1,1000,0.02165741982495,0.001275407686596,0.01158315261264
machine,0,10,1,0.8,0.9,0.9,1,1000,0.042643730588457,0.004958308937486,0.01160271495151
machine,0,10,1,0.2,5,5,1,100,0.032808840990897,0.002278578355279,0.011746810804329
machine,0,10,1,0.8,0.5,0.5,1,1000,0.039652138505874,0.003107676046999,0.011868559003764
machine,0,10,1,0.2,0.1,5,1,100,0.03113791818646,0.001989330848917,0.012036050894193
machine,0,10,1,0.2,0.5,5,1,100,0.030751028310146,0.001881933276281,0.012122118701985
machine,0,10,1,0.2,0.9,5,1,100,0.031528192361209,0.002179457484203,0.012136077479757
machine,0,10,1,0.2,0.5,0.9,1,1000,0.066625395233679,0.008900627781657,0.01215727055699
machine,0,10,1,0.2,0.1,0.9,1,1000,0.067535302097459,0.008798393496103,0.012282009972598
machine,0,10,1,0.2,5,5,1,1000,0.031846828359742,0.002509918864004,0.012307480934111
machine,0,10,1,0.2,0.1,5,7,1000,0.121414079973239,0.036500812871098,0.012600140820247
machine,0,10,1,0.5,0.1,0.9,7,1000,0.037117113753367,0.003286280674586,0.012684564264059
machine,0,10,1,0.5,0.9,5,1,100,0.035076405235314,0.002411524206253,0.012697794489229
machine,0,10,1,0.5,0.5,5,1,1000,0.03842959578741,0.004718596963885,0.012815160341333
machine,0,10,1,0.5,0.9,0.9,15,100,0.038372130654554,0.003161102900747,0.012875856122259
machine,0,10,1,0.5,0.5,0.9,7,1000,0.038442336467087,0.002511401706549,0.012938209874957
machine,0,10,1,0.5,0.1,5,1,100,0.042805079047526,0.004101596018337,0.012960785318188
machine,0,10,1,0.2,0.1,5,15,1000,0.054058688355632,0.010599683461022,0.01329801794499
machine,0,10,1,0.8,0.1,0.9,15,1000,0.070204931937159,0.010494688288263,0.01377831210235
machine,0,10,1,0.2,0.5,5,15,100,0.073406824994887,0.032916637420485,0.013961442081379
machine,0,10,1,0.5,0.5,0.9,1,100,0.038392064399715,0.003124829743158,0.014097461530447
machine,0,10,1,0.5,0.9,0.5,15,1000,0.042076076335897,0.003582644756343,0.014250413019395
machine,0,10,1,0.8,5,0.1,15,1000,0.036862734855441,0.00371185994483,0.014311937493099
machine,0,10,1,0.2,0.5,0.9,15,1000,0.036705611873222,0.003747869048226,0.014323572270038
machine,0,10,1,0.5,0.9,0.5,7,1000,0.036445952311774,0.003792060188762,0.014323887951634
machine,0,10,1,0.5,0.5,0.5,15,1000,0.036781314733028,0.003865460179048,0.014346870711846
machine,0,10,1,0.5,0.1,0.9,1,100,0.037517646873807,0.003891253284374,0.014361213362494
machine,0,10,1,0.5,0.1,0.9,7,100,0.03751769911842,0.003544494382146,0.014372617011069
machine,0,10,1,0.8,0.1,0.1,15,100,0.040431251244869,0.003897961475533,0.014401435089192
machine,0,10,1,0.8,0.5,0.1,7,100,0.044481953966815,0.004072209264841,0.014422043604793
machine,0,10,1,0.8,5,0.1,7,100,0.043246013100387,0.004093063834072,0.01446912279226
machine,0,10,1,0.8,0.1,0.1,7,100,0.046882025898777,0.004245660774155,0.014481749293182
machine,0,10,1,0.5,0.5,0.5,7,100,0.0484831470219,0.004299876841622,0.014513504316502
machine,0,10,1,0.8,0.5,5,1,100,0.04926390608687,0.006041084887047,0.014517003669226
machine,0,10,1,0.8,0.9,0.1,7,1000,0.044164563301107,0.004475006135247,0.014559068637979
machine,0,10,1,0.2,0.1,5,15,10,0.056991495873856,0.008231915465054,0.014561564270277
machine,0,10,1,0.5,0.9,0.5,15,100,0.047852808225172,0.004615546943694,0.0146018747343
machine,0,10,1,0.5,0.9,5,1,10,0.047401683078636,0.005830677899327,0.014744182631351
machine,0,10,1,0.2,5,0.9,7,1000,0.045725619428242,0.004947822288987,0.014768588022302
machine,0,10,1,0.5,0.9,0.9,7,10,0.046936440359868,0.005409977864512,0.014909889214359
machine,0,10,1,0.5,0.5,0.5,15,100,0.051330667923312,0.005669957244626,0.014968674284062
machine,0,10,1,0.8,0.9,0.1,1,100,0.056669766427021,0.005330631257318,0.015102525962122
machine,0,10,1,0.8,5,0.5,1,1000,0.038336080263846,0.00381070576472,0.015143553865222
machine,0,10,1,0.5,0.1,0.5,15,1000,0.049080356839886,0.006247139696438,0.015147022283863
machine,0,10,1,0.8,0.1,0.1,1,100,0.05036944876022,0.005409286011824,0.015148906691843
machine,0,10,1,0.8,0.1,0.5,7,100,0.054746541390466,0.006508176313235,0.015259569029357
machine,0,10,1,0.5,5,0.5,15,100,0.05330566409273,0.006621404437699,0.015279229166155
machine,0,10,1,0.8,5,0.1,1,100,0.054554283783506,0.006230082175512,0.015304392513879
machine,0,10,1,0.5,5,0.5,7,100,0.045774671291532,0.006733785509856,0.015309221377174
machine,0,10,1,0.8,0.9,5,1,1000,0.093919891512369,0.037300678985859,0.015550561943904
machine,0,10,1,0.5,0.1,0.5,15,100,0.056151665429369,0.007467516292029,0.015554659517789
machine,0,10,1,0.8,0.9,0.9,1,100,0.054282403327909,0.008366539536643,0.015812531686066
machine,0,10,1,0.8,0.9,5,1,100,0.056443439441958,0.007870569021924,0.016063140678799
machine,0,10,1,0.2,0.9,0.5,15,1000,0.082619074514685,0.010679121970627,0.016320465560367
machine,0,10,1,0.8,0.5,0.5,1,10,0.063858926995757,0.010246759582745,0.016486132887508
machine,0,10,1,0.5,0.9,5,7,10,0.053347254731283,0.005208472285993,0.016667583363987
machine,0,10,1,0.5,0.1,5,7,10,0.069379893758752,0.010247382491789,0.016750028261116
machine,0,10,1,0.2,5,0.9,7,100,0.06020787275888,0.007270602882891,0.016975358963172
machine,0,10,1,0.2,0.9,0.5,1,1000,0.103457837647621,0.016321236877284,0.01702159345529
machine,0,10,1,0.5,0.9,0.5,1,100,0.059899984921213,0.007526265830968,0.017047106702329
machine,0,10,1,0.2,0.5,0.9,15,100,0.070940144468043,0.009877994066072,0.017065647123462
machine,0,10,1,0.5,0.5,0.9,7,10,0.075938904673228,0.013715001767732,0.017098537275829
machine,0,10,1,0.5,0.1,0.5,1,100,0.06158636762364,0.006986372339324,0.017102709391932
machine,0,10,1,0.8,0.9,0.1,7,10,0.070844244821179,0.009639837532875,0.017249396229189
machine,0,10,1,0.8,0.1,5,1,1000,0.079797522869768,0.027220218141608,0.017353282971956
machine,0,10,1,0.2,0.1,5,7,10,0.072665331148352,0.013219837344906,0.01748128981409
machine,0,10,1,0.5,5,0.5,1,100,0.080044996882248,0.010638523978726,0.017721855961637
machine,0,10,1,0.5,0.1,0.1,15,1000,0.081884332805359,0.010472830271068,0.017748815138444
machine,0,10,1,0.5,5,0.1,1,1000,0.101319135138972,0.017758726045753,0.017774171373251
machine,0,10,1,0.5,0.5,0.1,1,1000,0.082753384759691,0.012691320739056,0.017807903706506
machine,0,10,1,0.2,5,5,15,10,0.100494075184043,0.038634716740127,0.017835288244318
machine,0,10,1,0.2,0.1,0.5,1,1000,0.091587396874617,0.013947717855755,0.017923193110275
machine,0,10,1,0.2,5,0.1,15,1000,0.087557516140603,0.013031968315476,0.017944972610628
machine,0,10,1,0.8,0.5,0.5,7,10,0.098096178946492,0.038086630792202,0.018112257548154
machine,0,10,1,0.2,0.5,0.5,7,1000,0.079518636618043,0.011051608314759,0.018263735990714
machine,0,10,1,0.5,0.1,5,15,10,0.097963769964451,0.038082100589434,0.018300688865548
machine,0,10,1,0.8,5,0.1,15,100,0.1152408881366,0.040843269026,0.018345906660929
machine,0,10,1,0.2,5,0.5,1,1000,0.103313247185542,0.016464822168462,0.018435065443905
machine,0,10,1,0.5,0.5,0.1,7,1000,0.093701221884953,0.014363532066505,0.018492370961053
machine,0,10,1,0.8,0.9,0.5,1,100,0.080227610681481,0.016504634599843,0.018559112278365
machine,0,10,1,0.2,0.9,5,15,1000,0.017839593071243,0.001153212203679,0.018585274313546
machine,0,10,1,0.2,0.1,0.1,1,1000,0.089578597424428,0.012938508177432,0.018629201538241
machine,0,10,1,0.8,0.1,0.9,7,1000,0.102729706542894,0.037977940525249,0.018631032432621
machine,0,10,1,0.2,5,0.5,15,1000,0.085262577776115,0.012619130244631,0.018714191011393
machine,0,10,1,0.8,0.5,0.5,1,100,0.075196669996384,0.017396869947974,0.018729447383599
machine,0,10,1,0.2,5,0.1,7,1000,0.085908233394788,0.011571722747167,0.018783736522535
machine,0,10,1,0.2,0.5,0.1,15,1000,0.083763029232097,0.011790427913426,0.018894879228053
machine,0,10,1,0.5,0.9,0.1,7,1000,0.084362086331917,0.012585703483452,0.01895421307661
machine,0,10,1,0.2,5,0.5,7,1000,0.072320345213052,0.010629700690045,0.01896802653035
machine,0,10,1,0.2,0.9,0.1,7,1000,0.095818111125049,0.014515294487344,0.019138051347035
machine,0,10,1,0.2,0.1,0.1,7,1000,0.084345280186512,0.01184168873351,0.019320049096121
machine,0,10,1,0.2,0.1,0.1,15,1000,0.090262370717092,0.01273565213051,0.019665133192096
machine,0,10,1,0.5,0.9,0.1,1,1000,0.099101102509875,0.014923214982525,0.019751104790025
machine,0,10,1,0.8,0.5,0.1,15,10,0.075644450581073,0.011698385158671,0.0197871430325
machine,0,10,1,0.2,0.1,0.9,1,100,0.123724522633041,0.022534398328186,0.01989619820206
machine,0,10,1,0.5,0.1,0.1,1,1000,0.090158058511422,0.012454790092175,0.019974848051627
machine,0,10,1,0.2,0.9,0.9,1,100,0.097360349943916,0.014218024177526,0.020118712659078
machine,0,10,1,0.2,0.9,0.1,15,1000,0.092637425915979,0.012966738171898,0.020130317444984
machine,0,10,1,0.2,0.1,0.5,15,1000,0.085918776650564,0.012317534280527,0.020260897242797
machine,0,10,1,0.5,5,5,7,10,0.12200762552754,0.046185423321097,0.020422927098306
machine,0,10,1,0.2,0.5,0.5,15,1000,0.068873255131731,0.008408376303145,0.020444176403747
machine,0,10,1,0.8,0.5,0.1,7,10,0.085439754040381,0.036715075699384,0.020585902762616
machine,0,10,1,0.2,0.9,0.1,1,1000,0.089996404454183,0.012653130038021,0.020681131682186
machine,0,10,1,0.2,5,0.9,1,100,0.094656744334324,0.014689886909014,0.020895630852121
machine,0,10,1,0.5,0.5,5,7,10,0.08528344767801,0.024072503996252,0.020974944758984
machine,0,10,1,0.8,0.1,0.5,15,100,0.085048660003547,0.023971121190081,0.021083636311794
machine,0,10,1,0.2,0.5,0.1,1,1000,0.091140060384373,0.013441327459848,0.021127283437585
machine,0,10,1,0.5,5,0.9,7,1000,0.082207568423171,0.024250044879315,0.021190092501772
machine,0,10,1,0.2,0.5,0.1,7,1000,0.096954347481414,0.01398041565939,0.021315982083555
machine,0,10,1,0.2,5,0.1,1,1000,0.09007057571731,0.013792675171723,0.021369257078514
machine,0,10,1,0.2,0.1,0.5,7,1000,0.067989896483876,0.009501412366443,0.021418273313338
machine,0,10,1,0.2,0.5,0.5,1,1000,0.087558367004705,0.013448847733079,0.021551127654878
machine,0,10,1,0.5,0.1,0.1,7,1000,0.088553661141048,0.012243044219401,0.021715367704329
machine,0,10,1,0.5,5,0.1,15,1000,0.089457875423601,0.013290617825675,0.021762654670462
machine,0,10,1,0.5,0.9,0.1,15,1000,0.10080709610945,0.015000851172025,0.0218528095426
machine,0,10,1,0.2,5,5,15,100,0.097611795789773,0.037993239908872,0.021992161943696
machine,0,10,1,0.2,0.1,5,15,100,0.075970838830784,0.034755819403576,0.02220143755462
machine,0,10,1,0.2,5,5,7,10,0.066885019344614,0.031396101391632,0.022241566575948
machine,0,10,1,0.8,5,0.5,1,10,0.104931612411748,0.028103368031733,0.022437045907168
machine,0,10,1,0.5,0.5,5,1,10,0.076207232469119,0.011552682410239,0.0224838665882
machine,0,10,1,0.8,5,0.9,1,100,0.113352230877627,0.028600014465842,0.022624110366877
machine,0,10,1,0.8,0.5,0.9,1,100,0.078210177493543,0.029229466615302,0.022818175404617
machine,0,10,1,0.2,0.9,0.5,7,1000,0.082067265519858,0.01272554397107,0.022908419651158
machine,0,10,1,0.8,0.1,5,1,100,0.078392417587909,0.030501814051588,0.022930654122387
machine,0,10,1,0.2,0.9,0.5,7,100,0.082536319942226,0.01328996530253,0.022957521437428
machine,0,10,1,0.5,0.1,5,1,10,0.074222429056218,0.033425778412496,0.023162018037716
machine,0,10,1,0.2,0.1,0.5,7,100,0.111820425181914,0.018148722079502,0.023635160005277
machine,0,10,1,0.2,0.5,0.5,1,100,0.106220213091991,0.017206417197755,0.024025504583118
machine,0,10,1,0.2,0.5,5,1,10,0.077293958360562,0.033566420197568,0.024175426209926
machine,0,10,1,0.5,0.5,0.1,7,100,0.129556645850583,0.021424907722219,0.024211794373935
machine,0,10,1,0.8,0.1,0.5,1,100,0.075388986240891,0.033486856309166,0.024216739324294
machine,0,10,1,0.5,0.5,0.9,7,100,0.093326510837581,0.033834964141566,0.024334018970236
machine,0,10,1,0.2,0.1,0.1,15,100,0.112002205772082,0.017735935711695,0.02457874282618
machine,0,10,1,0.2,0.1,0.1,1,100,0.101619181214372,0.015349850657858,0.024720069237953
machine,0,10,1,0.5,0.1,0.9,15,100,0.082736153637046,0.035058472541599,0.024771059560645
machine,0,10,1,0.5,0.5,0.9,15,10,0.09805031334503,0.038086953900045,0.024872183031924
machine,0,10,1,0.8,0.9,0.1,15,100,0.146278803479032,0.035368153075982,0.024877730334105
machine,0,10,1,0.5,5,0.9,15,10,0.097074716232642,0.03800438427586,0.0249404083052
machine,0,10,1,0.5,0.1,5,15,100,0.09137546442248,0.03611180284855,0.025230977549061
machine,0,10,1,0.2,0.9,0.1,1,100,0.085947977347434,0.013375651402172,0.025279815602671
machine,0,10,1,0.5,0.5,0.5,7,10,0.089478083798727,0.037549128760857,0.025350161192395
machine,0,10,1,0.5,0.9,0.5,7,100,0.090410224156496,0.036817149075732,0.025364587809669
machine,0,10,1,0.5,0.1,0.1,1,100,0.12089087122783,0.019455525857611,0.02539310773352
machine,0,10,1,0.8,0.1,0.9,1,1000,0.056981236405015,0.008841598263575,0.025402151901209
machine,0,10,1,0.8,5,0.5,7,100,0.093371111156433,0.036954742544666,0.025408747053272
machine,0,10,1,0.5,0.5,0.1,15,100,0.08615744123977,0.014394279836701,0.025545434665754
machine,0,10,1,0.5,0.9,0.9,7,100,0.095197610852709,0.037612461215392,0.025558813931721
machine,0,10,1,0.8,0.1,0.5,1,10,0.093253843738303,0.037481273085823,0.025574597893537
machine,0,10,1,0.8,0.5,0.5,15,10,0.090893709793193,0.037514390321839,0.02558798019345
machine,0,10,1,0.5,0.5,0.1,15,1000,0.095471127733927,0.0147028154146,0.025589496059018
machine,0,10,1,0.8,5,0.9,7,1000,0.103180561301576,0.035727382314284,0.025591978882882
machine,0,10,1,0.5,0.1,0.9,7,10,0.095149530739499,0.036987353364647,0.025701782018644
machine,0,10,1,0.5,0.1,0.9,15,10,0.097474402533694,0.038072571244404,0.025738972754976
machine,0,10,1,0.2,0.5,0.9,1,100,0.112396513857564,0.020354463424932,0.025740475354047
machine,0,10,1,0.2,0.1,0.1,7,100,0.087199041932637,0.012067504449167,0.025744094768974
machine,0,10,1,0.8,0.9,0.9,7,10,0.097287018468957,0.038039852348142,0.025772725078888
machine,0,10,1,0.5,5,0.9,7,10,0.098237897528356,0.038087374990296,0.025779481685519
machine,0,10,1,0.8,0.5,0.9,7,10,0.098068311448786,0.038074190048967,0.02578387453354
machine,0,10,1,0.8,0.9,0.5,7,100,0.098172180282995,0.038087334756822,0.025785215138306
machine,0,10,1,0.8,5,0.5,15,10,0.09810511778344,0.038086464975806,0.02578781102577
machine,0,10,1,0.8,0.1,0.5,7,10,0.098543898476829,0.038085342846421,0.025788172329389
machine,0,10,1,0.8,0.9,5,15,10,0.098184150043111,0.038086027812189,0.025788661618281
machine,0,10,1,0.8,0.5,0.9,15,10,0.098195553479556,0.038087523335639,0.02578902391694
machine,0,10,1,0.8,0.5,5,15,10,0.098192978726267,0.038087531257416,0.025789208165158
machine,0,10,1,0.5,0.5,0.5,1,100,0.087356884047588,0.035583511508354,0.02597110993836
machine,0,10,1,0.5,5,0.1,15,100,0.12269685238798,0.024624523390853,0.02601070504856
machine,0,10,1,0.8,0.9,0.1,7,100,0.106341224366408,0.038763857977511,0.02604324980206
machine,0,10,1,0.8,0.5,0.9,1,10,0.101583491144376,0.038920055203171,0.026047754274489
machine,0,10,1,0.8,0.1,0.1,1,10,0.094911128656444,0.035721163698545,0.026058148822381
machine,0,10,1,0.2,0.1,0.9,7,100,0.089579352306328,0.037121711859439,0.026111958783
machine,0,10,1,0.5,5,5,15,10,0.101558062865234,0.039062021451663,0.026163170107828
machine,0,10,1,0.5,0.5,5,7,100,0.101972947841072,0.041546049306893,0.026175689264065
