Data set,layers,omega,c1,c2,vmax,pop_size,maxIter,loss1,loss2,average1,average2
Cancer,1,0.4,0.9,0.1,1,1000,500,94.3197278911565,94.2857142857143,96.02387161982534,95.99171842650104
Cancer,1,0.4,0.9,0.1,1,1000,500,95.73446961202059,95.7142857142857,96.02387161982534,95.99171842650104
Cancer,1,0.4,0.9,0.1,1,1000,500,94.24123916877541,94.2028985507247,96.02387161982534,95.99171842650104
Cancer,2,0.4,3.0,0.5,1,1000,500,98.57535404777,98.57142857142858,96.59263695982641,96.5631469979296
Cancer,2,0.4,3.0,0.5,1,1000,500,100.0,100.0,96.59263695982641,96.5631469979296
Cancer,2,0.4,3.0,0.5,1,1000,500,98.56616166310378,98.57142857142858,96.59263695982641,96.5631469979296
Cancer,2,0.4,3.0,0.5,1,1000,500,91.58095238095241,91.42857142857142,96.59263695982641,96.5631469979296
Cancer,2,0.4,3.0,0.5,1,1000,500,97.1780303030303,97.1428571428571,96.59263695982641,96.5631469979296
Cancer,2,0.4,3.0,0.5,1,1000,500,97.1428571428571,97.1428571428571,96.59263695982641,96.5631469979296
Cancer,2,0.4,3.0,0.5,1,1000,500,94.3560606060606,94.2857142857143,96.59263695982641,96.5631469979296
Cancer,2,0.4,3.0,0.5,1,1000,500,97.1428571428571,97.1428571428571,96.59263695982641,96.5631469979296
Cancer,2,0.4,3.0,0.5,1,1000,500,97.1428571428571,97.1428571428571,96.59263695982641,96.5631469979296
Cancer,2,0.4,3.0,0.5,1,1000,500,94.24123916877541,94.2028985507247,96.59263695982641,96.5631469979296
forestfires,0,0.4,0.5,0.5,1,1000,500,0.16808586300166506,0.051370076022813,0.16600176364979538,0.0426320098178325
forestfires,0,0.4,0.5,0.5,1,1000,500,0.16889623173678495,0.038727770097251,0.16600176364979538,0.0426320098178325
forestfires,0,0.4,0.5,0.5,1,1000,500,0.154652017334195,0.029608575327981,0.16600176364979538,0.0426320098178325
forestfires,0,0.4,0.5,0.5,1,1000,500,0.17603863961561395,0.052360497140998,0.16600176364979538,0.0426320098178325
forestfires,0,0.4,0.5,0.5,1,1000,500,0.16001739002398402,0.033696238261632004,0.16600176364979538,0.0426320098178325
forestfires,0,0.4,0.5,0.5,1,1000,500,0.17489841711869694,0.048797576705477005,0.16600176364979538,0.0426320098178325
forestfires,0,0.4,0.5,0.5,1,1000,500,0.152270436737495,0.036426670795502,0.16600176364979538,0.0426320098178325
