Data set,layers,pop,Beta,CR,generations,loss1,loss2,average
machine,1,500,0.2,0.3,500,0.018959988531003,0.000554121337805,0.001443486421171
machine,1,500,0.5,0.3,500,0.031873043597795,0.002410665245814,0.003223009597879
machine,1,500,0.5,0.8,500,0.03329332747378,0.003683580332264,0.003543205545598
machine,1,500,0.8,0.3,500,0.039456181125985,0.004905429280685,0.003701008957845
machine,1,500,0.5,0.1,500,0.018340984431223,0.00074891321841,0.00375232800655
machine,1,500,0.8,0.1,500,0.041227352909209,0.008190652419226,0.003805442817536
machine,1,500,0.8,0.8,500,0.044910943918792,0.003544006142681,0.015654810674402
machine,2,500,0.2,0.8,500,0.014311099998127,0.000462351570136,0.000248723872281
machine,2,500,0.8,0.1,500,0.018268737721857,0.000576915719626,0.001626036309172
machine,2,500,0.2,0.1,500,0.026206698923363,0.0015970875733,0.002043626185593
machine,2,500,0.2,0.3,500,0.024839172753916,0.002691234135746,0.002826330924895
machine,2,500,0.8,0.3,500,0.02677367934151,0.002815037987772,0.003358594652285
machine,2,500,0.5,0.1,500,0.043566500845694,0.007359295849774,0.003758298800689
machine,2,500,0.5,0.3,500,0.048964802909371,0.004439455217552,0.005550039293186
machine,2,500,0.5,0.8,500,0.036868044854182,0.002782446773228,0.006620904440153
machine,2,500,0.8,0.8,500,0.035517205271535,0.003115275729409,0.00770318970294
soybean,0,500,0.5,0.8,500,100,100,86.6666666666667
soybean,0,500,0.2,0.1,500,100,100,93.3333333333333
soybean,0,500,0.5,0.1,500,86.6666666666667,80,93.3333333333333
soybean,0,500,0.8,0.3,500,100,100,93.3333333333333
soybean,0,500,0.8,0.8,500,100,100,93.3333333333333
soybean,0,500,0.2,0.3,500,100,100,100
soybean,0,500,0.2,0.8,500,100,100,100
soybean,0,500,0.5,0.3,500,100,100,100
soybean,0,500,0.8,0.1,500,100,100,100
soybean,1,500,0.2,0.1,500,100,100,86.6666666666667
soybean,1,500,0.2,0.3,500,71.4285714285714,80,86.6666666666667
soybean,1,500,0.5,0.1,500,100,100,86.6666666666667
soybean,1,500,0.8,0.8,500,100,100,86.6666666666667
soybean,1,500,0.5,0.3,500,100,100,93.3333333333333
soybean,1,500,0.5,0.8,500,100,100,93.3333333333333
soybean,1,500,0.8,0.1,500,100,100,93.3333333333333
soybean,1,500,0.8,0.3,500,100,100,93.3333333333333
soybean,1,500,0.2,0.8,500,100,100,100
soybean,2,500,0.8,0.3,500,0,0,33.3333333333333
soybean,2,500,0.2,0.3,500,70,60,46.6666666666667
soybean,2,500,0.2,0.1,500,80,80,73.3333333333333
soybean,2,500,0.5,0.3,500,71.4285714285714,80,73.3333333333333
soybean,2,500,0.2,0.8,500,71.4285714285714,80,80
soybean,2,500,0.5,0.8,500,73.3333333333333,80,86.6666666666667
soybean,2,500,0.8,0.1,500,100,100,86.6666666666667
soybean,2,500,0.5,0.1,500,100,100,93.3333333333333
soybean,2,500,0.8,0.8,500,100,100,93.3333333333333
