Data set,layers,maxGen,pop_size,mutation_rate,mutation_range,crossover_rate,loss1,loss2,average
glass,0,500,500,0.5,10,0.2,50,46.9407597749844,55.0910364145658
glass,1,500,500,0.8,10,0.5,54.5454545454545,49.7752247752248,51.5316165316165
glass,1,500,500,0.8,10,0.2,45.4545454545455,38.030303030303,53.3633958633959
glass,1,500,500,0.2,10,0.5,50,47.6689976689977,56.0708898944193
glass,1,500,500,0.5,10,0.2,54.5454545454545,52.5641025641026,57.3445998445999
glass,1,500,500,0.5,10,0.5,63.6363636363636,60.4895104895105,59.7606152017917
glass,1,500,500,0.2,10,0.2,59.0909090909091,56.2470862470862,62.482794982795
glass,2,500,500,0.8,10,0.5,36.3636363636364,27.2727272727273,32.831955922865
glass,2,500,500,0.8,10,0.2,59.0909090909091,55.4866850321396,36.4979885434431
glass,2,500,500,0.2,10,0.2,54.5454545454545,51.6983016983017,53.3478395243101
glass,2,500,500,0.2,10,0.5,59.0909090909091,55.24064171123,58.9214625244037
glass,2,500,500,0.5,10,0.2,63.6363636363636,59.95670995671,59.5093795093795
glass,2,500,500,0.5,10,0.5,59.0909090909091,54.4949494949495,61.3695855801119
machine,0,500,500,0.2,10,0.2,0.133298959341799,0.074485717914814,0.034908909010562
machine,0,500,500,0.2,10,0.5,0.133270696071628,0.074483240620915,0.034909079672538
machine,0,500,500,0.5,10,0.5,0.133383119702562,0.074493400005551,0.034918196333805
machine,0,500,500,0.5,10,0.2,0.133493142056514,0.074505521901865,0.034921416268634
machine,0,500,500,0.8,10,0.5,0.133613177485343,0.07452005805942,0.034938180090596
machine,0,500,500,0.8,10,0.2,0.133902061177179,0.074541353023962,0.034965485551845
machine,1,500,500,0.5,10,0.2,0.036095881532058,0.007566079396495,0.003352058142794
machine,1,500,500,0.2,10,0.5,0.041842401517033,0.010286622200373,0.004070731916742
machine,1,500,500,0.8,10,0.5,0.043835396920854,0.011022775327844,0.004914259666022
machine,1,500,500,0.2,10,0.2,0.047337651159305,0.013618278295166,0.004917220771241
machine,1,500,500,0.5,10,0.5,0.046241131721472,0.011515968624307,0.005261607177018
machine,1,500,500,0.8,10,0.2,0.052154077487905,0.015131016919947,0.005758101090122
machine,2,500,500,0.5,10,0.5,0.012940722534604,0.000701573290515,0.000740089529521
machine,2,500,500,0.2,10,0.5,0.033931667435854,0.008775336496311,0.004072138035337
machine,2,500,500,0.2,10,0.2,0.04622796826639,0.012280055217421,0.004361208488258
machine,2,500,500,0.5,10,0.2,0.051306958854647,0.016950357635305,0.006025053496693
machine,2,500,500,0.8,10,0.5,0.056139108241219,0.017853602846499,0.00666341283952
machine,2,500,500,0.8,10,0.2,0.059859136799248,0.023333423372547,0.00851973260579
soybean,0,500,500,0.2,10,0.2,100,100,100
soybean,0,500,500,0.2,10,0.5,100,100,100
soybean,0,500,500,0.5,10,0.2,100,100,100
soybean,0,500,500,0.5,10,0.5,100,100,100
soybean,0,500,500,0.8,10,0.2,100,100,100
soybean,0,500,500,0.8,10,0.5,100,100,100
soybean,1,500,500,0.2,10,0.2,100,100,100
soybean,1,500,500,0.2,10,0.5,100,100,100
soybean,1,500,500,0.5,10,0.2,100,100,100
soybean,1,500,500,0.5,10,0.5,100,100,100
soybean,1,500,500,0.8,10,0.2,100,100,100
soybean,1,500,500,0.8,10,0.5,100,100,100
soybean,2,500,500,0.2,10,0.2,100,100,100
soybean,2,500,500,0.2,10,0.5,100,100,100
soybean,2,500,500,0.5,10,0.2,100,100,100
soybean,2,500,500,0.5,10,0.5,100,100,100
soybean,2,500,500,0.8,10,0.2,100,100,100
soybean,2,500,500,0.8,10,0.5,100,100,100
