Data set,layers,omega,c1,c2,vmax,pop_size,maxIter,loss1,loss2,average
forestfires,0,0.4,0.5,0.9,1,1000,500,0.142397877571336,0.027093421913891,0.040577722985373
forestfires,0,0.4,0.9,3,1,1000,500,0.140793372052727,0.025530011370596,0.042788615211001
forestfires,0,0.4,0.5,3,1,1000,500,0.144732524144377,0.026647296633738,0.047798295506158
forestfires,0,0.4,3,3,1,1000,500,0.146702380376175,0.026389064315406,0.060552115281684
forestfires,1,0.1,0.5,0.1,1,1000,500,0.146942259003824,0.027266594691816,0.036819107847666
forestfires,1,0.4,0.1,0.1,1,1000,500,0.147952232672229,0.027524741231948,0.037039052508594
forestfires,1,0.1,3,0.5,1,1000,500,0.155535815820844,0.029863520349202,0.03719205529868
forestfires,1,0.1,3,0.1,1,1000,500,0.1472684264309,0.026865845422823,0.037369234467375
forestfires,1,0.1,0.9,0.5,1,1000,500,0.151710510526737,0.028591675089875,0.037474558391908
forestfires,1,0.4,3,0.5,1,1000,500,0.140839410945247,0.025795465530239,0.037555982861385
forestfires,1,0.4,0.9,0.1,1,1000,500,0.148406259584289,0.027250958999257,0.037574298924539
forestfires,1,0.4,0.5,0.1,1,1000,500,0.14908599838815,0.027315668553357,0.037613334869486
forestfires,1,0.4,3,0.1,1,1000,500,0.146492438688112,0.026109642104769,0.037653580389992
forestfires,1,0.1,0.1,0.1,1,1000,500,0.144090897455513,0.026517104081742,0.03776670320972
forestfires,1,0.1,0.5,0.5,1,1000,500,0.151599156375013,0.028666482220286,0.037833777785393
forestfires,1,0.4,0.9,0.5,1,1000,500,0.148444977698074,0.028513402006154,0.037940578088688
forestfires,1,0.4,0.5,0.5,1,1000,500,0.124261764954278,0.030588936725986,0.037944578960812
forestfires,1,0.1,3,0.9,1,1000,500,0.149359758437433,0.028385354337179,0.037957266444198
forestfires,1,0.1,0.1,0.5,1,1000,500,0.151556647172304,0.028557300081816,0.038160498164682
forestfires,1,0.1,0.9,0.1,1,1000,500,0.150499750619991,0.028367072294978,0.038215882797931
forestfires,1,0.1,0.5,0.9,1,1000,500,0.149683871218139,0.028416646109749,0.038354387972313
forestfires,1,0.1,0.1,0.9,1,1000,500,0.145442170113928,0.026839362563391,0.038458071649096
forestfires,1,0.4,0.9,0.9,1,1000,500,0.143324367716336,0.025822260806459,0.038566419585939
forestfires,1,0.1,0.9,0.9,1,1000,500,0.151795578989366,0.029199946425955,0.038649272386415
forestfires,1,0.4,3,0.9,1,1000,500,0.148790129851723,0.028681431949976,0.038789610039623
forestfires,1,0.4,0.5,0.9,1,1000,500,0.156340603199375,0.031710885025632,0.038831259020719
forestfires,1,0.4,0.1,0.5,1,1000,500,0.152795664715639,0.029722044668535,0.038896200959419
forestfires,1,0.4,0.1,0.9,1,1000,500,0.153741656700801,0.029350932219015,0.039818533381252
forestfires,1,0.1,3,3,1,1000,500,0.14270821455634,0.027525579782458,0.040610352677344
forestfires,1,0.1,0.5,3,1,1000,500,0.132802698381199,0.023982345738657,0.041393926571009
forestfires,1,0.4,0.1,3,1,1000,500,0.146536176424287,0.031826399279002,0.041954271827914
forestfires,1,0.1,0.9,3,1,1000,500,0.143610813345896,0.029969811425656,0.042122437851659
forestfires,1,0.1,0.1,3,1,1000,500,0.154062381005261,0.039716373023055,0.044507448643173
forestfires,1,0.4,0.5,3,1,1000,500,0.134713979851648,0.031099322335553,0.048297332597807
forestfires,1,0.4,0.9,3,1,1000,500,0.124525050645099,0.033021617547553,0.049536904146513
forestfires,1,0.4,3,3,1,1000,500,0.520000948564477,0.315449474013182,0.099511627770196
forestfires,2,0.4,3,0.9,1,1000,500,0.151674001542615,0.028613821707599,0.036311104433364
forestfires,2,0.1,0.1,0.1,1,1000,500,0.14397980089401,0.025608267009778,0.036459539404466
forestfires,2,0.1,0.5,0.5,1,1000,500,0.147256328950534,0.026820256928551,0.036798656593106
forestfires,2,0.1,0.5,0.1,1,1000,500,0.146520592132988,0.02635050630987,0.036843570882192
forestfires,2,0.1,0.1,0.5,1,1000,500,0.146550052004643,0.027497187432105,0.03691884411437
forestfires,2,0.4,3,0.1,1,1000,500,0.147239257883126,0.027429755514492,0.037212326245943
forestfires,2,0.1,0.5,0.9,1,1000,500,0.149542087071808,0.028052756886765,0.037270938036372
forestfires,2,0.1,3,0.5,1,1000,500,0.151632511305772,0.029282140725223,0.037370632602198
forestfires,2,0.4,0.9,0.1,1,1000,500,0.155275347345857,0.029703004059817,0.037624741814165
forestfires,2,0.1,0.9,0.9,1,1000,500,0.147882833012797,0.027019976732161,0.037649566859132
forestfires,2,0.1,3,0.1,1,1000,500,0.148345309725247,0.027190578963153,0.037659383650346
forestfires,2,0.1,0.1,0.9,1,1000,500,0.15898553204169,0.031352697889243,0.037761201472953
forestfires,2,0.4,0.1,0.1,1,1000,500,0.153509385040517,0.029605194222636,0.037793394755759
forestfires,2,0.1,0.9,0.1,1,1000,500,0.151895598989098,0.028152167798606,0.037853470768766
forestfires,2,0.4,0.5,0.1,1,1000,500,0.154615393995406,0.029997195515606,0.037869905397728
forestfires,2,0.4,0.9,0.5,1,1000,500,0.151826971603417,0.029623885645202,0.038199021897611
forestfires,2,0.4,0.1,0.9,1,1000,500,0.154163919509758,0.02988007154217,0.038392601337135
forestfires,2,0.4,0.1,0.5,1,1000,500,0.152156355577633,0.028539860911698,0.038742438690741
forestfires,2,0.1,3,0.9,1,1000,500,0.149865662481259,0.028244695064358,0.038804963134075
forestfires,2,0.4,0.5,0.9,1,1000,500,0.148594333206424,0.02807715531602,0.038975758940729
forestfires,2,0.1,0.9,0.5,1,1000,500,0.156062732047118,0.030096708757181,0.039401900591504
forestfires,2,0.4,0.9,0.9,1,1000,500,0.157307947995507,0.031443002224748,0.04027706556341
forestfires,2,0.1,0.5,3,1,1000,500,0.160399638549874,0.032876971379139,0.041073871608159
forestfires,2,0.4,0.9,3,1,1000,500,0.147081800019101,0.027382709065988,0.041342545388805
forestfires,2,0.1,0.1,3,1,1000,500,0.142038902610695,0.028077464102039,0.041461133449674
forestfires,2,0.4,3,3,1,1000,500,0.125417612924385,0.030273262940613,0.041801801577266
forestfires,2,0.4,0.5,3,1,1000,500,0.122608209642668,0.032569507490577,0.042067509336789
forestfires,2,0.1,3,3,1,1000,500,0.145391907259895,0.027546034894978,0.042455082127244
forestfires,2,0.4,0.5,0.5,1,1000,500,0.152132300579398,0.028808590354199,0.043122951667882
forestfires,2,0.1,0.9,3,1,1000,500,0.155923086353105,0.031649617148753,0.044020494816296
forestfires,2,0.4,0.1,3,1,1000,500,0.129503620972324,0.024132383223742,0.045714998708768
forestfires,2,0.4,3,0.5,1,1000,500,0.153756083330992,0.029642307381859,0.047798065208072
glass,0,0.1,0.1,0.5,1,1000,500,26.4705882352941,31.8181818181818,48.6147186147186
glass,0,0.1,0.5,0.1,1,1000,500,32.5311942959002,36.3636363636364,50.4329004329004
glass,0,0.1,0.9,0.1,1,1000,500,30.7692307692308,36.3636363636364,51.2987012987013
glass,0,0.1,0.1,0.1,1,1000,500,26.3403263403263,31.8181818181818,51.3852813852814
glass,0,0.4,3,0.1,1,1000,500,42.8099173553719,50,53.0735930735931
glass,0,0.4,0.9,0.1,1,1000,500,33.8731856378915,36.3636363636364,54.0692640692641
glass,0,0.1,0.5,0.5,1,1000,500,31.951871657754,40.9090909090909,54.1125541125541
glass,0,0.4,0.5,0.1,1,1000,500,56.4080656185919,59.0909090909091,54.9350649350649
glass,0,0.1,0.9,0.5,1,1000,500,27.947542653425,36.3636363636364,54.978354978355
glass,0,0.4,0.9,0.5,1,1000,500,43.7229437229437,50,55.021645021645
glass,0,0.4,0.5,0.5,1,1000,500,29.6524064171123,36.3636363636364,55.0649350649351
glass,0,0.1,3,0.1,1,1000,500,38.5003885003885,45.4545454545455,55.8874458874459
glass,0,0.1,0.1,0.9,1,1000,500,29.4055944055944,36.3636363636364,55.9307359307359
glass,0,0.4,3,0.9,1,1000,500,46.6004583651643,50,56.7532467532467
glass,0,0.1,0.5,0.9,1,1000,500,59.5262580556698,63.6363636363636,56.7965367965368
glass,0,0.4,0.9,3,1,1000,500,46.8869365928189,50,56.9264069264069
glass,0,0.1,0.9,0.9,1,1000,500,37.7410468319559,45.4545454545455,57.7489177489178
glass,0,0.1,3,0.5,1,1000,500,33.4224598930481,40.9090909090909,57.7922077922078
glass,0,0.4,0.1,0.9,1,1000,500,58.1002331002331,59.0909090909091,57.7922077922078
glass,0,0.4,0.9,0.9,1,1000,500,37.3737373737374,45.4545454545455,57.7922077922078
glass,0,0.4,3,0.5,1,1000,500,47.0779220779221,50,57.8354978354978
glass,0,0.4,0.5,0.9,1,1000,500,58.030303030303,63.6363636363636,58.6147186147186
glass,0,0.4,0.1,0.1,1,1000,500,32.5,40.9090909090909,59.5670995670996
glass,0,0.1,3,0.9,1,1000,500,42.4242424242424,50,59.6969696969697
glass,0,0.4,0.1,0.5,1,1000,500,41.6495784916838,50,59.6969696969697
glass,0,0.1,0.1,3,1,1000,500,51.6991341991342,54.5454545454545,60.6060606060606
glass,0,0.4,0.1,3,1,1000,500,42.1212121212121,45.4545454545455,60.6493506493507
glass,0,0.1,0.9,3,1,1000,500,67.3881673881674,68.1818181818182,64.2857142857143
glass,0,0.1,3,3,1,1000,500,57.1428571428572,59.0909090909091,64.3290043290043
glass,0,0.4,0.5,3,1,1000,500,60.5312868949233,63.6363636363636,65.1515151515152
glass,0,0.4,3,3,1,1000,500,56.5151515151515,59.0909090909091,67.0562770562771
glass,0,0.1,0.5,3,1,1000,500,65.6565656565657,68.1818181818182,67.965367965368
glass,1,0.4,0.1,0.5,1,1000,500,32.7751196172249,36.3636363636364,44.7619047619048
glass,1,0.4,3,0.1,1,1000,500,24.9350649350649,27.2727272727273,45.7142857142857
glass,1,0.4,3,0.9,1,1000,500,38.1385281385281,40.9090909090909,47.4458874458874
glass,1,0.4,0.9,0.5,1,1000,500,32.4064171122995,40.9090909090909,47.4891774891775
glass,1,0.1,3,0.1,1,1000,500,23.3333333333333,27.2727272727273,47.6623376623377
glass,1,0.1,0.9,0.9,1,1000,500,44.550547491724,45.4545454545455,48.4415584415584
glass,1,0.1,0.1,0.9,1,1000,500,30.952380952381,36.3636363636364,48.4848484848485
glass,1,0.1,0.5,0.5,1,1000,500,31.6883116883117,36.3636363636364,48.4848484848485
glass,1,0.4,0.5,0.1,1,1000,500,28.8770053475936,36.3636363636364,48.4848484848485
glass,1,0.1,0.5,0.1,1,1000,500,31.9347319347319,36.3636363636364,48.5281385281385
glass,1,0.1,0.9,0.1,1,1000,500,18.989898989899,22.7272727272727,48.5281385281385
glass,1,0.1,3,0.5,1,1000,500,29.6969696969697,36.3636363636364,48.6580086580087
glass,1,0.1,0.9,0.5,1,1000,500,30.7070707070707,36.3636363636364,49.3506493506494
glass,1,0.4,3,0.5,1,1000,500,37.0454545454545,45.4545454545455,49.4805194805195
glass,1,0.4,0.5,0.5,1,1000,500,30.5882352941176,36.3636363636364,50.4329004329004
glass,1,0.1,0.1,0.5,1,1000,500,34.1577540106952,40.9090909090909,51.3852813852814
glass,1,0.4,0.5,0.9,1,1000,500,26.3403263403263,31.8181818181818,52.1645021645022
glass,1,0.1,3,0.9,1,1000,500,38.3116883116883,40.9090909090909,52.2077922077922
glass,1,0.4,0.9,0.1,1,1000,500,45.1381951381952,50,53.2034632034632
glass,1,0.1,0.5,0.9,1,1000,500,41.8003565062389,45.4545454545455,54.1558441558441
glass,1,0.4,0.1,0.1,1,1000,500,29.6791443850267,36.3636363636364,54.1558441558442
glass,1,0.4,0.9,0.9,1,1000,500,40.4017551076375,40.9090909090909,55.021645021645
glass,1,0.1,0.1,0.1,1,1000,500,28.5302932361756,36.3636363636364,55.9307359307359
glass,1,0.4,0.5,3,1,1000,500,57.9004329004329,59.0909090909091,57.7056277056277
glass,1,0.4,0.1,3,1,1000,500,31.4935064935065,31.8181818181818,57.8787878787879
glass,1,0.4,0.1,0.9,1,1000,500,42.0454545454546,50,59.5670995670996
glass,1,0.1,0.5,3,1,1000,500,51.6991341991342,54.5454545454545,63.3333333333333
glass,1,0.4,3,3,1,1000,500,52.1441793500617,54.5454545454545,64.3290043290043
glass,1,0.4,0.9,3,1,1000,500,47.987012987013,50,67.9220779220779
glass,1,0.1,0.9,3,1,1000,500,57.1428571428572,59.0909090909091,67.965367965368
glass,1,0.1,0.1,3,1,1000,500,61.0569985569986,63.6363636363636,68.7878787878788
glass,1,0.1,3,3,1,1000,500,61.0569985569986,63.6363636363636,71.6017316017316
glass,2,0.4,0.1,0.1,1,1000,500,17.3737373737374,31.8181818181818,36.7099567099567
glass,2,0.4,3,0.5,1,1000,500,23.836450630709,31.8181818181818,37.7056277056277
glass,2,0.4,0.9,0.5,1,1000,500,25.7810301153954,36.3636363636364,40.2597402597403
glass,2,0.1,3,0.5,1,1000,500,33.1060606060606,40.9090909090909,40.995670995671
glass,2,0.4,0.1,0.9,1,1000,500,32.8259975318799,36.3636363636364,42.2510822510823
glass,2,0.1,0.1,0.1,1,1000,500,23.6044657097289,27.2727272727273,42.2943722943723
glass,2,0.4,3,0.1,1,1000,500,28.4136915715863,36.3636363636364,44.0692640692641
glass,2,0.1,0.5,0.5,1,1000,500,23.2323232323232,31.8181818181818,45.6709956709957
glass,2,0.4,0.9,0.1,1,1000,500,16.3636363636364,27.2727272727273,45.974025974026
glass,2,0.1,0.9,0.9,1,1000,500,36.4801864801865,45.4545454545455,46.6233766233766
glass,2,0.1,0.1,0.9,1,1000,500,31.7467221773442,40.9090909090909,46.6666666666667
glass,2,0.4,0.9,0.9,1,1000,500,16.7207792207792,31.8181818181818,46.7965367965368
glass,2,0.4,0.5,0.5,1,1000,500,24.4903581267218,36.3636363636364,48.4848484848485
glass,2,0.4,0.1,0.5,1,1000,500,25.7810301153954,36.3636363636364,48.6147186147186
glass,2,0.1,0.9,0.5,1,1000,500,27.5260343371798,36.3636363636364,49.3939393939394
glass,2,0.4,0.5,0.1,1,1000,500,26.3140495867769,36.3636363636364,50.3896103896104
glass,2,0.1,0.9,0.1,1,1000,500,31.6271963330787,36.3636363636364,50.4329004329004
glass,2,0.1,0.5,0.9,1,1000,500,32.034632034632,40.9090909090909,51.2554112554112
glass,2,0.4,3,0.9,1,1000,500,29.5110192837466,36.3636363636364,51.4285714285714
glass,2,0.1,3,0.1,1,1000,500,13.6363636363636,22.7272727272727,51.4718614718615
glass,2,0.1,3,0.9,1,1000,500,21.2987012987013,27.2727272727273,52.2077922077922
glass,2,0.1,0.1,0.5,1,1000,500,17.5,31.8181818181818,53.1168831168831
glass,2,0.4,0.1,3,1,1000,500,43.7229437229437,50,53.982683982684
glass,2,0.1,0.5,0.1,1,1000,500,22.2077922077922,31.8181818181818,54.1125541125541
glass,2,0.4,0.5,0.9,1,1000,500,38.7283768862716,45.4545454545455,54.1125541125541
