Data set,layers,maxGen,pop_size,mutation_rate,mutation_range,crossover_rate,loss1,loss2
Cancer,0,500,500,0.2,10,0.5,91.4285714285714,91.4876338132152
Cancer,0,500,500,0.2,10,0.5,87.1428571428571,87.3925403294859
Cancer,0,500,500,0.2,10,0.5,80,80.3146853146853
Cancer,0,500,500,0.5,10,0.2,91.4285714285714,91.4876338132152
Cancer,0,500,500,0.5,10,0.2,87.1428571428571,87.3925403294859
Cancer,0,500,500,0.5,10,0.2,80,80.3146853146853
Cancer,0,500,500,0.5,10,0.5,91.4285714285714,91.4876338132152
Cancer,0,500,500,0.5,10,0.5,87.1428571428571,87.3925403294859
Cancer,0,500,500,0.5,10,0.5,80,80.3146853146853
Cancer,0,500,500,0.8,10,0.2,90,89.9581405595946
Cancer,0,500,500,0.8,10,0.2,88.5714285714286,88.7269193391643
Cancer,0,500,500,0.8,10,0.2,82.8571428571429,83.1268731268731
Cancer,0,500,500,0.8,10,0.5,91.4285714285714,91.4876338132152
Cancer,0,500,500,0.8,10,0.5,88.5714285714286,88.8528138528138
Cancer,0,500,500,0.8,10,0.5,82.8571428571429,83.1268731268731
Cancer,1,500,500,0.2,10,0.2,95.7142857142857,95.696345954112
Cancer,1,500,500,0.2,10,0.2,98.5714285714286,98.581635167001
Cancer,1,500,500,0.2,10,0.2,94.2857142857143,94.3756243756244
Cancer,1,500,500,0.2,10,0.5,97.1428571428571,97.1174603174603
Cancer,1,500,500,0.2,10,0.5,98.5714285714286,98.581635167001
Cancer,1,500,500,0.2,10,0.5,95.7142857142857,95.7681049948069
Cancer,1,500,500,0.5,10,0.2,97.1428571428571,97.1174603174603
Cancer,1,500,500,0.5,10,0.2,100,100
Cancer,1,500,500,0.5,10,0.2,94.2857142857143,94.3756243756244
Cancer,1,500,500,0.5,10,0.5,97.1428571428571,97.1174603174603
Cancer,1,500,500,0.5,10,0.5,98.5714285714286,98.581635167001
Cancer,1,500,500,0.5,10,0.5,95.7142857142857,95.7681049948069
Cancer,1,500,500,0.8,10,0.2,95.7142857142857,95.7300864392602
Cancer,1,500,500,0.8,10,0.2,98.5714285714286,98.581635167001
Cancer,1,500,500,0.8,10,0.2,94.2857142857143,94.3756243756244
Cancer,1,500,500,0.8,10,0.5,97.1428571428571,97.1174603174603
